City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Plouzane,FR,2022-03-27 21:00:34,48.3833,-4.6167,57.52,47,0,4.61
1,Chokurdakh,RU,2022-03-27 21:00:35,70.6333,147.9167,-13.72,100,86,5.75
2,Bluff,NZ,2022-03-27 20:59:35,-46.6,168.3333,54.12,88,14,4.43
3,Chorozinho,BR,2022-03-27 21:00:36,-4.3003,-38.4978,75.83,93,95,5.08
4,Bredasdorp,ZA,2022-03-27 21:00:37,-34.5322,20.0403,64.99,81,38,2.71
5,Solnechnyy,RU,2022-03-27 21:00:37,50.7214,136.6319,12.29,84,100,5.64
6,Severo-Kurilsk,RU,2022-03-27 20:59:20,50.6789,156.125,32.85,89,74,20.36
7,Salinopolis,BR,2022-03-27 21:00:38,-0.6136,-47.3561,78.93,86,100,9.57
8,Port Lincoln,AU,2022-03-27 21:00:38,-34.7333,135.8667,63.18,84,33,8.39
9,Port Alfred,ZA,2022-03-27 20:58:17,-33.5906,26.891,67.17,90,99,1.99
10,Tasiilaq,GL,2022-03-27 20:56:21,65.6145,-37.6368,21.54,83,100,11.99
11,Port Moresby,PG,2022-03-27 21:00:39,-9.4431,147.1797,78.26,82,90,2.37
12,Nikolskoye,RU,2022-03-27 20:58:20,59.7035,30.7861,26.71,80,100,7.25
13,Eyl,SO,2022-03-27 21:00:39,7.9803,49.8164,77.11,70,31,13.69
14,Kapaa,US,2022-03-27 21:00:40,22.0752,-159.319,78.78,65,12,4.0
15,Kavieng,PG,2022-03-27 21:00:40,-2.5744,150.7967,82.08,76,73,7.85
16,Huazhou,CN,2022-03-27 21:00:41,21.6333,110.5833,63.3,74,100,7.87
17,Harper,LR,2022-03-27 21:00:42,4.375,-7.7169,81.0,85,94,5.01
18,Butaritari,KI,2022-03-27 21:00:42,3.0707,172.7902,80.65,67,99,8.9
19,Avarua,CK,2022-03-27 20:57:49,-21.2078,-159.775,82.45,78,20,9.22
20,Busselton,AU,2022-03-27 21:00:43,-33.65,115.3333,58.08,69,0,13.96
21,Georgetown,MY,2022-03-27 21:00:43,5.4112,100.3354,80.53,74,20,3.44
22,Kajaani,FI,2022-03-27 20:56:37,64.2273,27.7285,21.25,49,100,8.05
23,Wahpeton,US,2022-03-27 21:00:44,46.2652,-96.6059,29.12,39,75,3.44
24,East London,ZA,2022-03-27 21:00:34,-33.0153,27.9116,71.6,81,77,19.84
25,Namatanai,PG,2022-03-27 20:56:45,-3.6667,152.4333,80.31,82,98,5.5
26,Barrow,US,2022-03-27 21:00:32,71.2906,-156.7887,1.42,66,40,20.71
27,Ventspils,LV,2022-03-27 21:00:45,57.3894,21.5606,39.13,87,0,14.97
28,Sinnamary,GF,2022-03-27 21:00:45,5.3833,-52.95,78.46,85,93,13.53
29,Cidreira,BR,2022-03-27 21:00:46,-30.1811,-50.2056,71.42,73,0,8.48
30,Dikson,RU,2022-03-27 21:00:47,73.5069,80.5464,-17.25,100,14,3.27
31,Hvolsvollur,IS,2022-03-27 21:00:47,63.7533,-20.2243,40.48,86,100,4.59
32,Naze,JP,2022-03-27 21:00:48,28.3667,129.4833,62.76,62,95,14.07
33,Flagstaff,US,2022-03-27 21:00:38,35.1981,-111.6513,70.52,13,0,24.16
34,Gornopravdinsk,RU,2022-03-27 21:00:49,60.05,69.9,15.06,92,100,10.51
35,Rikitea,PF,2022-03-27 21:00:50,-23.1203,-134.9692,79.12,69,5,11.14
